raceId,driverId,stop,lap,constructorId,grid,laps,position,circuitId,podium
841,1,2,36,1,2,58,2,1,1
841,2,2,30,4,18,57,12,1,0
841,4,3,42,6,5,58,4,1,0
841,13,3,48,6,8,58,7,1,0
841,15,2,37,205,20,56,13,1,0
841,16,2,37,10,16,57,9,1,0
841,17,3,41,9,3,58,5,1,0
841,18,3,37,1,4,58,6,1,0
841,20,2,36,9,1,58,1,1,1
841,67,2,29,5,10,57,8,1,0
841,153,3,35,5,12,57,11,1,0
841,808,2,36,4,6,58,3,1,1
841,814,2,36,10,14,57,10,1,0
841,816,2,38,166,22,54,14,1,0
842,1,4,52,1,2,56,8,2,0
842,2,3,39,4,6,56,3,2,1
842,3,3,40,131,9,55,12,2,0
842,4,4,46,6,5,56,6,2,0
842,5,2,34,205,19,55,15,2,0
842,10,2,34,166,21,54,16,2,0
842,13,3,38,6,7,56,5,2,0
842,16,3,32,10,17,55,11,2,0
842,17,4,43,9,3,56,4,2,0
842,18,3,38,1,4,56,2,2,1
842,20,3,41,9,1,56,1,2,1
842,30,3,42,131,11,56,9,2,0
842,67,3,32,5,12,55,13,2,0
842,153,2,32,5,13,55,14,2,0
842,155,2,36,15,10,56,7,2,0
842,808,3,44,4,8,52,17,2,0
842,814,3,37,10,14,56,10,2,0
843,1,3,38,1,3,56,1,17,1
843,2,2,30,4,16,56,12,17,0
843,3,3,39,131,4,56,5,17,0
843,4,2,32,6,5,56,7,17,0
843,5,2,40,205,19,55,16,17,0
843,10,3,39,166,22,54,21,17,0
843,13,2,33,6,6,56,6,17,0
843,15,2,42,205,20,55,19,17,0
843,16,3,47,10,11,55,15,17,0
843,17,3,40,9,18,56,3,17,1
843,18,3,37,1,2,56,4,17,0
843,20,2,31,9,1,56,2,17,1
843,22,2,35,3,15,56,13,17,0
843,24,3,45,164,23,54,22,17,0
843,30,3,39,131,14,56,8,17,0
843,39,1,23,164,24,54,23,17,0
843,67,3,33,5,9,56,14,17,0
843,155,2,30,15,13,56,10,17,0
843,808,2,37,4,10,56,9,17,0
843,813,3,40,3,17,55,18,17,0
843,814,2,32,10,8,56,11,17,0
843,815,4,50,15,12,55,17,17,0
843,816,2,34,166,21,54,20,17,0
844,1,4,46,1,4,58,4,5,0
844,2,4,46,4,9,58,7,5,0
844,3,4,44,131,3,58,5,5,0
844,4,4,46,6,5,58,3,5,1
844,5,3,53,205,18,56,19,5,0
844,13,4,46,6,10,58,11,5,0
844,15,3,39,205,19,57,18,5,0
844,16,3,40,10,12,57,13,5,0
844,17,4,45,9,2,58,2,5,1
844,18,3,39,1,6,58,6,5,0
844,20,4,47,9,1,58,1,5,1
844,22,3,40,3,11,57,15,5,0
844,24,4,37,164,20,53,22,5,0
844,30,4,45,131,8,58,12,5,0
844,39,3,45,164,22,55,21,5,0
844,67,3,40,5,16,58,9,5,0
844,153,4,55,5,17,57,16,5,0
844,155,3,38,15,24,58,10,5,0
844,808,4,45,4,7,58,8,5,0
844,813,4,45,3,14,57,17,5,0
844,815,4,42,15,15,57,14,5,0
844,816,2,33,166,23,56,20,5,0
845,1,4,49,1,3,66,2,4,1
845,2,3,50,4,24,65,8,4,0
845,3,3,42,131,7,65,7,4,0
845,4,4,39,6,4,65,5,4,0
845,10,3,53,166,20,63,19,4,0
845,15,3,43,205,18,64,18,4,0
845,16,3,48,10,17,65,13,4,0
845,17,4,47,9,1,66,4,4,0
845,18,3,48,1,5,66,3,4,1
845,20,4,48,9,2,66,1,4,1
845,22,4,54,3,19,64,17,4,0
845,30,3,41,131,10,65,6,4,0
845,39,3,47,164,22,61,21,4,0
845,67,3,42,5,11,65,14,4,0
845,153,4,50,5,13,64,16,4,0
845,155,3,44,15,14,65,10,4,0
845,808,3,41,4,6,65,11,4,0
845,813,4,53,3,9,65,15,4,0
845,814,3,51,10,16,65,12,4,0
845,815,3,47,15,12,65,9,4,0
845,816,3,49,166,23,62,20,4,0
846,1,3,49,1,9,78,6,6,0
846,2,2,69,4,15,77,8,6,0
846,3,3,53,131,7,76,11,6,0
846,4,2,34,6,4,78,2,6,1
